ASN,latitude,longitude
12513,34.0522,-118.244
12524,41.0081,-91.9715
12542,38.5781,-75.2831
12552,26.2784,-80.2928
12564,25.7617,-80.1918
12578,46.3527,-94.202
12620,36.1812,-80.282
12651,41.1573,-96.0297
12653,37.8448,-87.5906
12670,40.7128,-74.006
12708,38.9072,-77.0369
12709,42.282,-88.4144
12721,32.5896,-92.0669
12735,36.1716,-115.139
12741,46.942,-122.606
12742,41.8769,-87.6499
12769,39.06,-77.4621
12778,42.364,-71.0918
12829,37.6076,-77.5136
12832,26.3683,-80.1289
12859,41.8781,-87.6298
12874,34.0779,-83.5615
12876,25.9331,-80.1625
12880,33.749,-84.388
12883,45.5317,-122.684
12917,34.0522,-118.244
12929,39.2002,-77.3073
12946,40.7378,-73.4787
12968,38.9586,-77.357
12969,43.018,-78.7846
12970,41.955,-87.9401
12996,37.3688,-122.036
13030,35.1094,-92.4996
13041,39.0063,-77.4371
13046,33.0639,-96.8064
13066,37.8044,-122.271
13074,39.6172,-104.951
13091,37.4812,-121.93
13118,39.9612,-82.9988
13121,41.8398,-87.9536
